video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=vI1-k6Ug3KA&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@davetakesiton,Dave Takes It On,Home Charging Explained | Is A 3-Pin Plug Enough For You?,175K,2 years,Are you considering switching to an electric vehicle (EV) and wondering if a standard 3-pin plug is enough for home charging?,2026-01-21 22:43:43.584509
/watch?v=Mgm6pfdBSLo&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@choicetopp,ChoiceTop,Top 5 EV Home Chargers 2025 ⚡ Best Level 2 Charging Stations for Fast & Smart Home Charging,2.1K,5 months,"Looking for the best EV home charger in 2025? In this video, we compare and rank the top 5 Level 2 charging stations for fast, ...",2026-01-21 22:43:51.327336
/watch?v=jgkRzoK3p_I&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@SmartHomeCharge,Smart Home Charge,Best Home EV Chargers - Our choices,24K,9 months,"The best home EV chargers are subject to personal opinion. However, we're here to help you form that opinion and decide which ...",2026-01-21 22:43:51.328247
/watch?v=B2lekpp6sy0&t=145s&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@artisanelectrics,Artisan Electrics,5 Best EV Chargers Compared: Honest Review & Brutal Opinion🫢,138K,1 year,"With so many different EV chargers on the market these days, choosing which one is perfect for your needs can feel like a ...",2026-01-21 22:43:51.329616
/watch?v=Wn7IMKHitjw&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@SolarQuotes,SolarQuotes,What You NEED To Know Before Buying A Home EV Charger In Australia,57K,1 year,"Most EV charging happens at home, so it's important you choose the right one and integrate it properly. In this video, I'll walk you ...",2026-01-21 22:43:51.330650
/watch?v=VLTm4STELVU&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZdIHCQmHCgGHKiGM7w%3D%3D,/@jlec,JLEC Electrical,EV Charging Costs EXPLAINED: Cheapest Way to Charge Your Electric Car!,4.3K,1 year,Thinking about making the switch to an electric vehicle (EV) but unsure about the cost of charging? ⚡ You're in the right place!,2026-01-21 22:43:51.331506
/watch?v=RJQ0afgprdU&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@DefinitelyNotAGuru,DefinitelyNotAGuru,Having an EV without a Home Charger,29K,2 years,Octopus Energy : https://share.octopus.energy/witty-gale-608 ✓ QuoteZone ...,2026-01-21 22:43:51.332092
/watch?v=P7k2YUZkK1o&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@carsales,carsales.com.au,How to charge an EV | Do you fast charge? Or slow charge? Charging EVs and hybrid explained!,17K,1 year,What is the best way to charge an EV or hybrid? We look at the charging options Full Story: ...,2026-01-21 22:43:51.333010
/watch?v=w-L1Fzf7434&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@ElectricCarAustralia,Electric Car Australia,What’s the CHEAPEST EV Charging? | How much will EV charging INCREASE your Home ELECTRICITY BILL?,26K,1 year,This educational EV video is aimed at those new to electric vehicles or thinking about buying an EV and wanting to know the ...,2026-01-21 22:43:51.333918
/watch?v=KOjJ0dFCYI4&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@TheGlovesMan,The Gloves Man,Electric Car Charging - All Charging Options Explained!,5.4K,1 year,"When it comes to electric cars, there are several common questions that everyone has - How to charge the car at home or on ...",2026-01-21 22:43:51.334900
/watch?v=1PhdbsBgWP8&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@EVexplored,EVexplored (Patrick & Liv),Splitvolt For EV Charging At Home,7K,2 years,"There is so much new information to learn when converting to the EV lifestyle so, as we make this transition to electric vehicles, we ...",2026-01-21 22:43:51.335690
/watch?v=B2cae6-ECIw&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@ChargingWA,Charging WA,EV Charger Installation Perth | Home & Commercial EV Charging | Charging WA,No,11 hours,"Looking for EV charger installation in Perth? Charging WA designs and installs safe, compliant, and future-ready electric vehicle ...",2026-01-21 22:43:51.336295
/watch?v=fQeR0hQmWbk&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@LudicrousFeed,Ludicrous Feed,Home EV Charging Setup Update | Origin EV Power Up | Ocular IQ Home,17K,1 year,June 2024 Update on my current electric vehicle home charging setup for our Tesla Model Y and BYD Seal utilising Ocular IQ ...,2026-01-21 22:43:51.337184
/watch?v=8X5f7jKl0JI&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@TheGlovesMan,The Gloves Man,Nexon EV Home Charging Setup | How To Charge The Nexon EV At Home,85K,3 years,Detailed video covering the Nexon EV Home charging setup process. This video will help you understand how the setup is done ...,2026-01-21 22:43:51.337782
/watch?v=Po6QfGEG7Tw&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZdIHCQmHCgGHKiGM7w%3D%3D,/@soyacincautv,SoyaCincau,Owning an EV: Do you need an EV charger at home? | LTA Clips,6K,2 years,"When you purchase an EV, should you also consider installing a wall box charger at home? Yes, it does make it more convenient, ...",2026-01-21 22:43:51.338407
/watch?v=xb3knAjz7GM&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@Consumer-Picks,Consumer Picks,Best Home EV Chargers 2025 | Top 7 Level 2 Chargers Reviewed & Ranked,3K,6 months,Best Home EV Chargers 2025 | Top 7 Level 2 Chargers Reviewed & Ranked Looking to charge your EV faster at home?,2026-01-21 22:43:51.339027
